[1321549131.342896, '54']
[1321549131.360322, '56']
[1321549131.377625, '55']
[1321549131.394898, '56']
[1321549131.412293, '56']
[1321549131.429597, '56']
[1321549131.44687, '56']
[1321549131.464112, '56']
[1321549131.481446, '56']
[1321549131.498689, '56']
[1321549131.516053, '54']
[1321549131.533204, '55']
[1321549131.550538, '57']
[1321549131.56775, '57']
[1321549131.584992, '55']
[1321549131.602387, '57']
[1321549131.619691, '54']
[1321549131.636903, '57']
[1321549131.654206, '54']
[1321549131.671571, '53']
[1321549131.688844, '55']
[1321549131.706056, '60']
[1321549131.723451, '56']
[1321549131.740663, '55']
[1321549131.757996, '55']
[1321549131.775178, '56']
[1321549131.792451, '56']
[1321549131.809693, '57']
[1321549131.826875, '55']
[1321549131.844239, '54']
[1321549131.86139, '56']
[1321549131.878602, '57']
[1321549131.895783, '55']
[1321549131.912995, '56']
[1321549131.930329, '56']
[1321549131.947511, '56']
[1321549131.964753, '55']
[1321549131.981965, '55']
[1321549131.999207, '56']
[1321549132.016633, '56']
[1321549132.033814, '56']
[1321549132.051087, '57']
[1321549132.068269, '56']
[1321549132.085542, '54']
[1321549132.102815, '54']
[1321549132.120027, '55']
[1321549132.137177, '55']
[1321549132.154389, '56']
[1321549132.171754, '56']
[1321549132.189027, '54']
[1321549132.2063, '59']
[1321549132.223512, '57']
[1321549132.240724, '55']
[1321549132.258027, '53']
[1321549132.27533, '57']
[1321549132.292512, '56']
[1321549132.309754, '57']
[1321549132.327088, '55']
[1321549132.344422, '55']
[1321549132.361604, '57']
[1321549132.378877, '53']
[1321549132.395997, '55']
[1321549132.413209, '56']
[1321549132.430512, '56']
[1321549132.447663, '55']
[1321549132.464845, '54']
[1321549132.482179, '54']
[1321549132.499543, '56']
[1321549132.516755, '55']
[1321549132.533967, '54']
[1321549132.55124, '56']
[1321549132.568421, '58']
[1321549132.585755, '57']
[1321549132.602967, '55']
[1321549132.62021, '55']
[1321549132.637513, '54']
[1321549132.654694, '58']
[1321549132.671967, '56']
[1321549132.68921, '55']
[1321549132.706452, '55']
[1321549132.723664, '57']
[1321549132.740846, '54']
[1321549132.75821, '56']
[1321549132.775361, '56']
[1321549132.792573, '55']
[1321549132.809693, '57']
[1321549132.826875, '57']
[1321549132.844087, '58']
[1321549132.861298, '58']
[1321549132.87848, '56']
[1321549132.895661, '56']
[1321549132.912812, '56']
[1321549132.930116, '56']
[1321549132.947358, '58']
[1321549132.964539, '56']
[1321549132.98169, '55']
[1321549132.998841, '54']
[1321549133.016236, '59']
[1321549133.033448, '55']
[1321549133.05063, '57']
[1321549133.067841, '54']
[1321549133.084992, '57']
[1321549133.102387, '58']
[1321549133.119599, '57']
[1321549133.136781, '56']
[1321549133.153932, '58']
[1321549133.171113, '53']
[1321549133.188416, '57']
[1321549133.205598, '53']
[1321549133.22284, '56']
[1321549133.240174, '56']
[1321549133.257478, '55']
[1321549133.274659, '54']
[1321549133.29184, '57']
[1321549133.309022, '57']
[1321549133.326203, '54']
[1321549133.343537, '53']
[1321549133.360688, '57']
[1321549133.377839, '54']
[1321549133.39499, '56']
[1321549133.412232, '57']
[1321549133.429505, '56']
[1321549133.446717, '54']
[1321549133.463868, '55']
[1321549133.481111, '53']
[1321549133.498292, '57']
[1321549133.515534, '57']
[1321549133.532777, '54']
[1321549133.550111, '55']
[1321549133.567353, '57']
[1321549133.584565, '55']
[1321549133.601746, '57']
[1321549133.618867, '55']
[1321549133.636079, '56']
[1321549133.653321, '56']
[1321549133.670503, '55']
[1321549133.687806, '55']
[1321549133.705079, '58']
[1321549133.72226, '58']
[1321549133.739442, '57']
[1321549133.756623, '56']
