[1321559979.974216, '59']
[1321559979.991428, '60']
[1321559980.008518, '57']
[1321559980.025699, '59']
[1321559980.042758, '59']
[1321559980.059818, '58']
[1321559980.076938, '55']
[1321559980.09415, '57']
[1321559980.111331, '57']
[1321559980.128452, '59']
[1321559980.145602, '60']
[1321559980.162692, '58']
[1321559980.179904, '59']
[1321559980.197147, '59']
[1321559980.214328, '55']
[1321559980.23154, '57']
[1321559980.248721, '56']
[1321559980.266116, '56']
[1321559980.283237, '57']
[1321559980.300418, '56']
[1321559980.31763, '58']
[1321559980.33475, '54']
[1321559980.351993, '56']
[1321559980.369113, '57']
[1321559980.386234, '55']
[1321559980.403446, '56']
[1321559980.420627, '57']
[1321559980.437778, '56']
[1321559980.45502, '57']
[1321559980.472141, '55']
[1321559980.489352, '56']
[1321559980.506656, '57']
[1321559980.523959, '57']
[1321559980.54111, '56']
[1321559980.558231, '56']
[1321559980.575443, '58']
[1321559980.592471, '58']
[1321559980.609561, '57']
[1321559980.626773, '57']
[1321559980.643771, '59']
[1321559980.660922, '58']
[1321559980.677951, '55']
[1321559980.695041, '58']
[1321559980.712283, '56']
[1321559980.729434, '58']
[1321559980.746402, '57']
[1321559980.763583, '56']
[1321559980.780673, '58']
[1321559980.797855, '56']
[1321559980.814883, '58']
[1321559980.832034, '60']
[1321559980.849063, '58']
[1321559980.866214, '58']
[1321559980.883456, '56']
[1321559980.900516, '57']
[1321559980.917667, '59']
[1321559980.934757, '54']
[1321559980.951816, '56']
[1321559980.968967, '58']
[1321559980.986209, '57']
[1321559981.003391, '57']
[1321559981.02045, '58']
[1321559981.03757, '56']
[1321559981.05466, '56']
[1321559981.071872, '57']
[1321559981.088931, '59']
[1321559981.106082, '58']
[1321559981.123172, '56']
[1321559981.140262, '58']
[1321559981.157382, '58']
[1321559981.174564, '55']
[1321559981.191654, '56']
[1321559981.208774, '55']
[1321559981.225986, '54']
[1321559981.243259, '57']
[1321559981.260471, '56']
[1321559981.277683, '57']
[1321559981.294772, '57']
[1321559981.311923, '54']
[1321559981.329105, '59']
[1321559981.346317, '56']
[1321559981.363467, '56']
[1321559981.380649, '56']
[1321559981.3978, '57']
[1321559981.415073, '56']
[1321559981.432285, '56']
[1321559981.449497, '57']
[1321559981.466678, '55']
[1321559981.483951, '57']
[1321559981.501071, '55']
[1321559981.518131, '58']
[1321559981.53522, '57']
[1321559981.55231, '57']
[1321559981.569278, '57']
[1321559981.586429, '58']
[1321559981.603488, '57']
[1321559981.620578, '56']
[1321559981.637668, '56']
[1321559981.654758, '56']
[1321559981.671756, '58']
[1321559981.688998, '58']
[1321559981.706027, '55']
[1321559981.723117, '57']
[1321559981.740115, '58']
[1321559981.757205, '59']
[1321559981.774295, '58']
[1321559981.791385, '57']
[1321559981.808475, '60']
[1321559981.825443, '57']
[1321559981.842441, '56']
[1321559981.8595, '55']
[1321559981.876682, '57']
[1321559981.89371, '56']
[1321559981.910739, '57']
[1321559981.927799, '56']
[1321559981.944858, '56']
[1321559981.961978, '59']
[1321559981.978977, '57']
[1321559981.996066, '57']
[1321559982.013156, '58']
[1321559982.030185, '58']
[1321559982.047305, '57']
[1321559982.064365, '56']
[1321559982.081424, '57']
[1321559982.098666, '59']
[1321559982.115695, '59']
[1321559982.132724, '57']
[1321559982.149997, '55']
[1321559982.167056, '59']
[1321559982.184055, '58']
[1321559982.201144, '56']
[1321559982.218143, '58']
[1321559982.235233, '59']
[1321559982.252292, '56']
[1321559982.269473, '57']
[1321559982.286472, '57']
[1321559982.30347, '55']
[1321559982.32056, '55']
[1321559982.337741, '56']
[1321559982.354831, '57']
[1321559982.371951, '59']
[1321559982.38895, '59']
[1321559982.406101, '56']
[1321559982.423282, '56']
[1321559982.44028, '57']
[1321559982.45737, '57']
[1321559982.474399, '57']
[1321559982.491428, '59']
[1321559982.508579, '56']
[1321559982.525607, '53']
[1321559982.542636, '57']
[1321559982.559818, '55']
[1321559982.576968, '59']
[1321559982.59415, '56']
[1321559982.611362, '56']
[1321559982.628513, '56']
[1321559982.645725, '58']
[1321559982.662906, '59']
[1321559982.680118, '57']
[1321559982.697269, '56']
[1321559982.71442, '54']
[1321559982.731479, '58']
[1321559982.74863, '55']
[1321559982.76572, '57']
[1321559982.782993, '56']
[1321559982.800082, '57']
[1321559982.817233, '54']
[1321559982.834262, '56']
[1321559982.851474, '58']
[1321559982.868747, '55']
[1321559982.885928, '57']
[1321559982.90311, '55']
[1321559982.920261, '58']
[1321559982.937381, '58']
[1321559982.954685, '55']
[1321559982.971774, '56']
[1321559982.989017, '57']
[1321559983.006198, '55']
[1321559983.023319, '58']
[1321559983.04053, '58']
[1321559983.057773, '57']
[1321559983.074924, '55']
[1321559983.092044, '59']
[1321559983.109165, '55']
[1321559983.126407, '56']
[1321559983.143497, '56']
[1321559983.160648, '56']
[1321559983.177768, '55']
[1321559983.195041, '55']
[1321559983.212344, '58']
[1321559983.229526, '56']
[1321559983.246646, '58']
[1321559983.263706, '57']
[1321559983.280826, '57']
[1321559983.298007, '59']
[1321559983.31525, '60']
[1321559983.332431, '58']
[1321559983.349551, '58']
[1321559983.366611, '58']
[1321559983.383853, '55']
[1321559983.400974, '61']
[1321559983.418033, '55']
[1321559983.435184, '58']
[1321559983.452243, '56']
[1321559983.469394, '60']
[1321559983.486484, '56']
[1321559983.503696, '56']
[1321559983.520847, '58']
[1321559983.537875, '56']
[1321559983.555148, '58']
[1321559983.572299, '59']
[1321559983.589481, '56']
[1321559983.606662, '58']
[1321559983.623935, '56']
[1321559983.641238, '59']
[1321559983.658359, '55']
[1321559983.675479, '57']
[1321559983.69263, '56']
[1321559983.709811, '57']
[1321559983.727054, '57']
[1321559983.744174, '57']
[1321559983.761234, '54']
[1321559983.778384, '59']
[1321559983.795474, '56']
[1321559983.812595, '56']
[1321559983.829807, '56']
[1321559983.846957, '57']
[1321559983.864108, '57']
[1321559983.881198, '58']
[1321559983.898258, '58']
[1321559983.915469, '58']
[1321559983.932559, '54']
