[1321563079.133835, '61']
[1321563079.151993, '58']
[1321563079.170029, '59']
[1321563079.187943, '60']
[1321563079.20604, '57']
[1321563079.223923, '57']
[1321563079.24202, '59']
[1321563079.259873, '59']
[1321563079.27797, '61']
[1321563079.295823, '59']
[1321563079.313798, '60']
[1321563079.331895, '59']
[1321563079.349869, '60']
[1321563079.367753, '59']
[1321563079.385758, '59']
[1321563079.403611, '61']
[1321563079.421464, '60']
[1321563079.439286, '58']
[1321563079.457169, '60']
[1321563079.474991, '59']
[1321563079.492814, '58']
[1321563079.510758, '59']
[1321563079.528641, '57']
[1321563079.546555, '58']
[1321563079.564316, '61']
[1321563079.582108, '58']
[1321563079.59993, '59']
[1321563079.617631, '60']
[1321563079.635392, '59']
[1321563079.653184, '61']
[1321563079.670945, '59']
[1321563079.688645, '57']
[1321563079.706498, '59']
[1321563079.724381, '60']
[1321563079.742051, '58']
[1321563079.759782, '63']
[1321563079.777726, '57']
[1321563079.795487, '58']
[1321563079.813218, '61']
[1321563079.83104, '58']
[1321563079.848954, '55']
[1321563079.866654, '58']
[1321563079.884476, '61']
[1321563079.902268, '59']
[1321563079.920182, '60']
[1321563079.937974, '59']
[1321563079.955796, '57']
[1321563079.973649, '60']
[1321563079.991593, '59']
[1321563080.009415, '57']
[1321563080.027268, '59']
[1321563080.045182, '59']
[1321563080.063004, '58']
[1321563080.080765, '62']
[1321563080.098679, '58']
[1321563080.116532, '60']
[1321563080.134232, '61']
[1321563080.152177, '62']
[1321563080.170029, '62']
[1321563080.187791, '60']
[1321563080.205552, '157']
[1321563080.223435, '156']
[1321563080.241196, '157']
[1321563080.258866, '156']
[1321563080.276749, '159']
[1321563080.294541, '155']
[1321563080.312394, '156']
[1321563080.363999, '57']
[1321563080.38173, '59']
[1321563080.39946, '59']
[1321563080.417405, '59']
[1321563080.435258, '59']
[1321563080.453019, '59']
[1321563080.470841, '59']
[1321563080.488785, '58']
[1321563080.50676, '60']
[1321563080.524491, '157']
[1321563080.542344, '156']
